=== CHECK 1: Active PID duplicates per (display_name, school_canonical) ===

display_name             school_canonical        position_group  prospect_id  is_active
John Michael Gyllenborg  Wyoming                 TE              3681         1
Jonah Coleman            Washington              RB              141          1
Jonah Coleman            Washington              LB              2273         1
Jordan Hall              Tulane                  OL              1037         1
Jordan Hall              Tulane                  LB              2287         1
Jordan Van Den Berg      Georgia Tech            DT              1039         1
Jordan Van Den Berg      Georgia Tech            EDGE            1072         1
Jordan White             Vanderbilt              OL              2810         1
Jordan White             Vanderbilt              LB              4495         1
Jordyn Tyson             Arizona State           WR              68           1
Jordyn Tyson             Arizona State           LB              564          1
Josh Braun               Kentucky                LB              1224         1
Josh Braun               Kentucky                OL              3764         1
Josh Cameron             Baylor                  LB              47           1
Josh Cameron             Baylor                  WR              3616         1
Josh Cuevas              Alabama                 LB              175          1
Josh Cuevas              Alabama                 TE              3644         1
Josh Moten               Southern Miss           LB              379          1
Josh Moten               Southern Miss           CB              3704         1
Josh Thompson            LSU                     LB              1228         1
Josh Thompson            LSU                     OL              3680         1
Joshua Josephs           Tennessee               EDGE            114          1
Joshua Josephs           Tennessee               LB              2305         1
Jude Bowry               Boston College          EDGE            115          1
Jude Bowry               Boston College          OL              3709         1
Jude Bowry               Boston College          LB              4431         1
Julian Neal              Arkansas                CB              109          1
Julian Neal              Arkansas                LB              2318         1
Justin Jefferson         Alabama                 LB              272          1
Justin Jefferson         Alabama                 WR              949          1
Justin Joly              North Carolina State    TE              101          1
Justin Joly              North Carolina State    LB              2324         1
KC Concepcion            Texas A&M               WR              3            1
KC Concepcion            Texas A&M               WR              3516         1
KC Concepcion            Texas A&M               LB              4324         1
Ka'Ena Decambra          Arizona                 OL              4280         1
Ka'Ena Decambra          Arizona                 LB              4526         1
Kadyn Proctor            Alabama                 OL              23           1
Kadyn Proctor            Alabama                 LB              577          1
Kage Casey               Boise State             LB              91           1
Kage Casey               Boise State             OL              3967         1
Kaleb Proctor            Southeastern Louisiana  DT              348          1
Kaleb Proctor            Southeastern Louisiana  LB              2333         1
Kam Dewberry             Alabama                 LB              2335         1
Kam Dewberry             Alabama                 OL              4256         1
Kam Olds                 Kentucky                LB              2336         1
Kam Olds                 Kentucky                EDGE            4278         1
Kamari Ramsey            Southern California     S               148          1
Kamari Ramsey            Southern California     LB              2334         1
Kani Walker              Arkansas                LB              2338         1
Kani Walker              Arkansas                CB              3867         1
Kayden Mcdonald          Ohio State              DT              78           1
Kayden Mcdonald          Ohio State              LB              380          1
Kaytron Allen            Penn State              RB              143          1
Kaytron Allen            Penn State              LB              2340         1
Keeshawn Silver          USC                     DT              1663         1
Keeshawn Silver          USC                     LB              2344         1
Keionte Scott            Miami                   S               239          1
Keionte Scott            Miami                   CB              338          1
Keionte Scott            Miami                   LB              2346         1
Keionte Scott            Miami FL                S               3792         1
Keionte Scott            Miami FL                CB              4184         1
Keith Abney              Arizona State           CB              74           1
Keith Abney              Arizona State           LB              2347         1
Keldric Faulk            Auburn                  EDGE            42           1
Keldric Faulk            Auburn                  LB              580          1
Keldric Faulk            Auburn                  DT              4484         1
Kendal Daniels           Oklahoma                LB              274          1
Kendal Daniels           Oklahoma                S               1468         1
Kenyon Sadiq             Oregon                  TE              62           1
Kenyon Sadiq             Oregon                  LB              581          1
Kevin Coleman            Missouri                WR              199          1
Kevin Coleman            Missouri                LB              2352         1
Keylan Rutledge          Georgia Tech            OL              136          1
Keylan Rutledge          Georgia Tech            LB              2355         1
Keyron Crawford          Auburn                  EDGE            116          1
Keyron Crawford          Auburn                  LB              1240         1
Kobe Baynes              Kansas                  LB              584          1
Kobe Baynes              Kansas                  OL              3879         1
Kobe Prentice            Baylor                  LB              2363         1
Kobe Prentice            Baylor                  WR              4259         1
LT Overton               Alabama                 EDGE            3626         1
LT Overton               Alabama                 DT              3972         1
LT Overton               Alabama                 LB              4359         1
Lake Mcree               Southern California     LB              382          1
Lake Mcree               Southern California     TE              3854         1
Landon Robinson          Navy                    DT              458          1
Landon Robinson          Navy                    LB              2384         1
Lee Hunter               Texas Tech              LB              4            1
Lee Hunter               Texas Tech              DT              3527         1
Logan Jones              Iowa                    OL              287          1
Logan Jones              Iowa                    LB              383          1
Logan Parr               SMU                     TE              3055         1
Logan Parr               SMU                     OL              4493         1
Lorenzo Styles           Ohio State              S               1470         1
Lorenzo Styles           Ohio State              CB              1599         1
Louis Moore              Indiana                 S               193          1
Louis Moore              Indiana                 CB              1600         1
Louis Moore              Indiana                 LB              2395         1
Lt Overton               Alabama                 EDGE            24           1
Lt Overton               Alabama                 OL              4569         1
Luke Altmyer             Illinois                LB              177          1
Luke Altmyer             Illinois                QB              3707         1
Luke Petitbon            Florida State           LB              2402         1
Luke Petitbon            Florida State           OL              4215         1
Makai Lemon              Southern California     WR              69           1
Makai Lemon              Southern California     LB              598          1
Malachi Fields           Notre Dame              WR              70           1
Malachi Fields           Notre Dame              LB              2406         1
Malachi Lawrence         Central Florida         EDGE            82           1
Malachi Lawrence         Central Florida         LB              1262         1
Malachi Lawrence         UCF                     EDGE            3544         1
Malachi Lawrence         UCF                     LB              3965         1
Malik Muhammad           Texas                   CB              13           1
Malik Muhammad           Texas                   LB              2407         1
Mansoor Delane           Louisiana State         CB              39           1
Mansoor Delane           Louisiana State         LB              599          1
Mark Gronowski           Iowa                    LB              385          1
Mark Gronowski           Iowa                    QB              3931         1
Mark Petry               Syracuse                LB              2422         1
Mark Petry               Syracuse                OL              4241         1
Markel Bell              Miami                   OL              137          1
Markel Bell              Miami                   LB              2420         1
Marlin Klein             Michigan                TE              242          1
Marlin Klein             Michigan                LB              2423         1
Marvin Jones             Oklahoma                EDGE            351          1
Marvin Jones             Oklahoma                DT              1669         1
Mason Randolph           Boise State             OL              2827         1
Mason Randolph           Boise State             LB              4505         1
Mason Reiger             Wisconsin               EDGE            468          1
Mason Reiger             Wisconsin               LB              2430         1
Matt Gulbin              Michigan State          LB              128          1
Matt Gulbin              Michigan State          OL              3976         1
Matt Lauter              Boise State             LB              2435         1
Matt Lauter              Boise State             TE              4272         1
Max Bredeson             Michigan                RB              386          1
Max Bredeson             Michigan                FB              3868         1
Max Bredeson             Michigan                TE              4010         1
Max Bredeson             Michigan                LB              4561         1
Max Iheanachor           Arizona State           LB              5            1
Max Iheanachor           Arizona State           OL              3958         1
Max Llewellyn            Iowa                    LB              92           1
Max Llewellyn            Iowa                    EDGE            3641         1
Max Llewellyn            Iowa                    DT              3995         1
Max Tomczak              Youngstown State        LB              2447         1
Max Tomczak              Youngstown State        WR              4269         1
Michael Taaffe           Texas                   S               310          1
Michael Taaffe           Texas                   CB              1605         1
Michael Taaffe           Texas                   LB              2456         1
Michael Trigg            Baylor                  TE              102          1
Michael Trigg            Baylor                  LB              2458         1
Mikail Kamara            Indiana                 EDGE            206          1
Mikail Kamara            Indiana                 LB              2464         1
Mike Washington          Arkansas                LB              93           1
Mike Washington          Arkansas                RB              3580         1
Monkell Goodwine         South Carolina          DT              1671         1
Monkell Goodwine         South Carolina          LB              2477         1
Monroe Freeling          Georgia                 OL              25           1
Monroe Freeling          Georgia                 LB              609          1
Nate Boerkircher         Texas A&M               TE              150          1
Nate Boerkircher         Texas A&M               LB              4433         1
Nicholas Singleton       Penn State              RB              145          1
Nicholas Singleton       Penn State              LB              2484         1
Nick Andersen            Wake Forest             LB              2485         1
Nick Andersen            Wake Forest             S               4506         1
Nick Barrett             South Carolina          LB              178          1
Nick Barrett             South Carolina          DT              3629         1
Nick Dawkins             Penn State              LB              2486         1
Nick Dawkins             Penn State              OL              4264         1
Noah Avinger             Utah State              CB              2494         1
Noah Avinger             Utah State              S               3946         1
Noah Thomas              Georgia                 LB              618          1
Noah Thomas              Georgia                 WR              3710         1
Noah Whittington         Oregon                  LB              218          1
Noah Whittington         Oregon                  RB              3812         1
Nyjalik Kelly            Central Florida         EDGE            207          1
Nyjalik Kelly            Central Florida         LB              2504         1
Nyjalik Kelly            UCF                     EDGE            3857         1
Nyjalik Kelly            UCF                     LB              4011         1
Omar Aigbedion           Baylor                  LB              2506         1
Omar Aigbedion           Baylor                  OL              3909         1
Omar Cooper              Indiana                 LB              12           1
Omar Cooper              Indiana                 WR              3523         1
Oscar Delp               Georgia                 TE              151          1
Oscar Delp               Georgia                 LB              2510         1
Owen Heinecke            Oklahoma                LB              180          1
Owen Heinecke            Oklahoma                CB              4034         1
Parker Brailsford        Alabama                 LB              388          1
Parker Brailsford        Alabama                 OL              408          1
Pat Coogan               Indiana                 LB              181          1
Pat Coogan               Indiana                 OL              3814         1
Pete Nygra               Louisville              LB              3441         1
Pete Nygra               Louisville              OL              4540         1
Peter Woods              Clemson                 DT              79           1
Peter Woods              Clemson                 LB              389          1
Peter Woods              Clemson                 EDGE            1764         1
Quintayvious Hutchins    Boston College          EDGE            352          1
Quintayvious Hutchins    Boston College          DT              1677         1
R Mason Thomas           Oklahoma                EDGE            7            1
R Mason Thomas           Oklahoma                DT              3961         1
Rara Thomas              Troy                    LB              2539         1
Rara Thomas              Troy                    WR              4168         1
Rayshaun Benny           Michigan                DT              111          1
Rayshaun Benny           Michigan                LB              1303         1
Red Murdock              Buffalo                 EDGE            169          1
Red Murdock              Buffalo                 LB              3642         1
Reggie Virgil            Texas Tech              WR              156          1
Reggie Virgil            Texas Tech              LB              2544         1
Rene Konga               Louisville              LB              1304         1
Rene Konga               Louisville              DT              3696         1
Reuben Fatheree          Texas A&M               LB              2548         1
Reuben Fatheree          Texas A&M               OL              4529         1
Riley Nowakowski         Indiana                 TE              431          1
Riley Nowakowski         Indiana                 FB              1782         1
Rocco Spindler           Nebraska                LB              2567         1
Rocco Spindler           Nebraska                OL              4499         1
Romello Height           Texas Tech              EDGE            43           1
Romello Height           Texas Tech              LB              2570         1
Roy Williams             Northern Illinois       LB              2573         1
Roy Williams             Northern Illinois       EDGE            4266         1
Rueben Bain              Miami                   EDGE            14           1
Rueben Bain              Miami                   LB              629          1
Ryan Eckley              Michigan State          LB              630          1
Ryan Eckley              Michigan State          ST              4019         1
Ryan Linthicum           Clemson                 OL              2579         1
Ryan Linthicum           Clemson                 LB              4554         1
Ryan Mosesso             UMass                   LB              2580         1
Ryan Mosesso             UMass                   OL              4274         1
Sam Hecht                Kansas State            LB              94           1
Sam Hecht                Kansas State            OL              3823         1
Sam Roush                Stanford                LB              129          1
