score,tier,sources_covered,display_name,full_name,school_canonical,position_group,prospect_key,prospect_id,reason_chips
16.9541,Watch,2,Dijon Johnson,Dijon Johnson,Florida,CB,p2026_c48519eaa8989779,506,17% coverage
16.9077,Watch,6,Alex Harkey,Alex Harkey,Oregon,OL,p2026_2c28a767ea2177ef,437,50% coverage; Wide variance
16.7011,Watch,2,Kalil Alexander,Kalil Alexander,Texas State,EDGE,p2026_20d1658609baf777,507,17% coverage
16.6341,Watch,7,CJ Donaldson,CJ Donaldson,Ohio State,RB,p2026_cc9d9a2725c65fbc,320,58% coverage; Wide variance
16.6302,Watch,1,Sam Hecht,Sam Hecht,Kansas State,LB,p2026_d40393bcc7cca092,765,8% coverage
16.6167,Watch,2,Hykeem Williams,Hykeem Williams,Colorado,WR,p2026_4ecc6555cf448153,508,17% coverage
16.5324,Watch,2,Jordan White,Jordan White,Vanderbilt,OL,p2026_fc41132bc40f91aa,509,17% coverage
16.5246,Watch,3,Lorenzo Styles,Lorenzo Styles,Ohio State,S,p2026_9e90db97a6490979,231,25% coverage; Wide variance
16.3589,Watch,5,RJ Maryland,RJ Maryland,SMU,TE,p2026_9fe8710ee3570e81,286,42% coverage; Wide variance
16.3523,Watch,2,Fred Davis,Fred Davis,Northwestern,CB,p2026_b7a597db3a48b42f,540,17% coverage
16.3423,Watch,3,Jake Retzlaff,Jake Retzlaff,Tulane,QB,p2026_bc9e303bccc7ad6b,267,25% coverage; Wide variance
16.229,Watch,5,Ahmaad Moses,Ahmaad Moses,SMU,S,p2026_b24cf75934369e6c,346,42% coverage; Wide variance
16.2206,Watch,2,Chip Trayanum,Chip Trayanum,Toledo,RB,p2026_aa5b5085dcd7b68e,270,17% coverage
16.1643,Watch,3,Jerry Wilson,Jerry Wilson,Florida State,CB,p2026_5381cc63215cd737,498,25% coverage; Wide variance
15.6821,Watch,5,Marcus Allen,Marcus Allen,North Carolina,CB,p2026_13492e0d56bfa1e7,376,42% coverage; Wide variance
15.6584,Watch,1,Markel Bell,Markel Bell,Miami Fla.,OL,p2026_c66142a791f4f5eb,726,8% coverage
15.571,Watch,1,Arion Carter,Arion Carter,Tennessee,LB,p2026_9801492eb4621563,727,8% coverage
15.5149,Watch,3,Micah Pettus,Micah Pettus,Florida State,OL,p2026_480ab9c41ced1200,305,25% coverage; Moderate variance
15.4358,Watch,2,Jacobe Johnson,Jacobe Johnson,Oklahoma,CB,p2026_d10ee22c4a7a4396,514,17% coverage
15.4194,Watch,6,Scooby Williams,Scooby Williams,Texas A&M,LB,p2026_85b9973465b39b2a,318,50% coverage; Wide variance
15.3681,Watch,5,Jaylon Guilbeau,Jaylon Guilbeau,Texas,CB,p2026_300d326ba6549138,352,42% coverage; Wide variance
15.333,Watch,6,Caullin Lacy,Caullin Lacy,Louisville,WR,p2026_ab184268b662b59c,330,50% coverage; Wide variance
15.3247,Watch,4,Jackie Marshall,Jackie Marshall,Baylor,EDGE,p2026_b72c051370968c37,287,33% coverage; Wide variance
15.2211,Watch,1,Ted Hurst,Ted Hurst,Georgia St.,WR,p2026_fa91c2d3c598d004,728,8% coverage
15.1828,Watch,2,Tony Grimes,Tony Grimes,Purdue,CB,p2026_147bb28f07e34981,515,17% coverage
15.0984,Watch,2,Roderick Kearney,Roderick Kearney,Florida,OL,p2026_35deb24e2158054d,516,17% coverage
15.0111,Watch,1,Jermod Mccoy,Jermod Mccoy,Tennessee,RB,p2026_cfcd606255e2df3e,792,8% coverage; Median rank ≤ 25
14.9567,Watch,1,Jahiem Lawson,Jahiem Lawson,Clemson,EDGE,p2026_93debe642283f772,766,8% coverage
14.9366,Watch,2,Cam Miller,Cam Miller,Rutgers,CB,p2026_c295766d9db37289,650,17% coverage
14.8155,Watch,3,Jaden Dugger,Jaden Dugger,Louisiana,LB,p2026_7a8167e789b14e98,334,25% coverage; Wide variance
14.7837,Watch,1,Cian Slone,Cian Slone,NC State,LB,p2026_a5bd4bf262231dc3,729,8% coverage
14.7747,Watch,6,Wade Woodaz,Wade Woodaz,Clemson,LB,p2026_586e45221f7a9a40,391,50% coverage; Wide variance
14.664,Watch,7,Alan Herron,Alan Herron,Maryland,OL,p2026_9fbb2e47cf6b6963,425,58% coverage; Wide variance
14.6106,Watch,6,Evan Beerntsen,Evan Beerntsen,Northwestern,OL,p2026_38b62a1e8aa462c9,359,50% coverage; Wide variance
14.5923,Watch,2,Jaylon Braxton,Jaylon Braxton,Ole Miss,CB,p2026_a6dbeb265ae59b39,519,17% coverage
14.5492,Watch,4,Joe Fagnano,Joe Fagnano,UConn,QB,p2026_c8c3567cf1aeb82a,517,33% coverage; Wide variance
14.5383,Watch,1,Joe Royer,Joe Royer,NC State,TE,p2026_9887a0d64c01a5b6,767,8% coverage
14.5212,Watch,1,Bryce Lance,Bryce Lance,N. Dakota St.,WR,p2026_dc2e8bfeca6943ea,730,8% coverage
14.4892,Watch,2,Damonic Williams,Damonic Williams,Oklahoma,LB,p2026_41ad27f2c3d34538,289,17% coverage
14.4338,Watch,1,Bakyne Coly,Bakyne Coly,Purdue,OL,p2026_9db051ded06cdcd2,731,8% coverage
14.4248,Watch,5,Bauer Sharp,Bauer Sharp,LSU,TE,p2026_662c3fe99e12ef4a,349,42% coverage; Wide variance
14.398,Watch,2,Keeshawn Silver,Keeshawn Silver,USC,LB,p2026_58944b7ef1827ba5,290,17% coverage
14.3292,Watch,1,Skyler Thomas,Skyler Thomas,Oregon State,S,p2026_72a2b7a36bf346b0,768,8% coverage
14.2312,Watch,4,Aidan Hubbard,Aidan Hubbard,Northwestern,EDGE,p2026_a38247a3b1b5110e,323,33% coverage; Moderate variance
14.1875,Watch,3,Seydou Traore,Seydou Traore,Mississippi State,TE,p2026_dde2c7bb44d89ed8,259,25% coverage; Wide variance
14.1337,Watch,4,Caden Barnett,Caden Barnett,Wyoming,OL,p2026_ccff991ff648c393,288,33% coverage; Wide variance
14.0952,Watch,3,Anez Cooper,Anez Cooper,Miami FL,OL,p2026_6d88e122c91ced1c,398,25% coverage; Wide variance
14.0335,Watch,2,Ben Bell,Ben Bell,Virginia Tech,EDGE,p2026_fe55c5ac1b5b4fe0,294,17% coverage
13.9108,Watch,1,Jake Slaughter,Jake Slaughter,Florida,LB,p2026_f5e12b5e6f657d25,769,8% coverage
13.8674,Watch,3,Damonic Williams,Damonic Williams,Oklahoma,DT,p2026_616fdfb5345a7a1d,538,25% coverage; Wide variance
13.8564,Watch,1,Brandon Cisse,Brandon Cisse,South Carolina,RB,p2026_9d8bc12eb0fb96db,793,8% coverage; Median rank ≤ 50
13.8513,Watch,2,Davion Carter,Davion Carter,Texas Tech,OL,p2026_8cf08cd314ca28fe,296,17% coverage
13.6575,Watch,4,Carsen Ryan,Carsen Ryan,BYU,TE,p2026_58decdfb781427da,291,33% coverage; Wide variance
13.5796,Watch,3,Shad Banks,Shad Banks,UTSA,LB,p2026_9a996f0b81cae372,606,25% coverage; Wide variance
13.5779,Watch,2,Brandon Cleveland,Brandon Cleveland,North Carolina State,LB,p2026_6c85537d70154d0e,299,17% coverage
13.559,Watch,1,Keyshaun Elliott,Keyshaun Elliott,Arizona St.,LB,p2026_208e15689a2d2f56,732,8% coverage
13.4868,Watch,2,Dean Connors,Dean Connors,Houston,RB,p2026_693f150f29d70549,300,17% coverage
13.3045,Watch,2,Luke Petitbon,Luke Petitbon,Florida State,OL,p2026_d752362e904e5f5f,302,17% coverage
13.2625,Watch,3,Squirrel White,Squirrel White,Florida State,WR,p2026_995acda4eb01a823,304,25% coverage; Wide variance
13.0625,Watch,1,Isaiah Smith,Isaiah Smith,SMU,EDGE,p2026_1ced7c641911dd12,652,8% coverage
12.94,Watch,2,Gary Smith,Gary Smith,UCLA,LB,p2026_a8c3612324ac0917,306,17% coverage
12.8818,Watch,4,Emmanuel Henderson,Emmanuel Henderson,Kansas,WR,p2026_c931faee594516c7,332,33% coverage; Moderate variance
12.8489,Watch,2,Hank Beatty,Hank Beatty,Illinois,WR,p2026_1bf63c75bcad86d3,307,17% coverage
12.8323,Watch,5,Avery Smith,Avery Smith,Toledo,CB,p2026_f9e912269329008d,364,42% coverage; Wide variance
12.6666,Watch,2,Austin Brown,Austin Brown,Wisconsin,S,p2026_d9d7d3a02cdd9783,309,17% coverage
12.5774,Watch,3,Tomas Rimac,Tomas Rimac,Virginia Tech,OL,p2026_995935adcd0bdd06,284,25% coverage; Wide variance
12.5755,Watch,2,Harrison Wallace,Harrison Wallace,Mississippi,WR,p2026_ed17adc305042ce4,310,17% coverage
12.4844,Watch,2,Landon Robinson,Landon Robinson,Navy,LB,p2026_2410e8d2c85acdb3,311,17% coverage
12.3933,Watch,2,Nick Barrett,Nick Barrett,South Carolina,LB,p2026_8a65f64828909ddb,312,17% coverage
12.3409,Watch,1,Cian Slone,Cian Slone,NC State,EDGE,p2026_a960fb72439ca2e8,655,8% coverage
12.3409,Watch,3,Bryson Eason,Bryson Eason,Tennessee,DT,p2026_7ffa69248bb40879,678,25% coverage; Wide variance
12.3021,Watch,2,Jeff Persi,Jeff Persi,Pittsburgh,OL,p2026_bd2ab8236fef252e,313,17% coverage
12.2373,Watch,1,Alex Mclaughlin,Alex Mclaughlin,Washington,S,p2026_b2a909de7a20bcf7,770,8% coverage
12.1199,Watch,2,Cameron Ball,Cameron Ball,Arkansas,LB,p2026_0bf3c9244ccbe096,315,17% coverage
12.0287,Watch,2,Bryson Eason,Bryson Eason,Tennessee,LB,p2026_f88b040f61777522,316,17% coverage
12.0281,Watch,1,James Brockermeyer,James Brockermeyer,Miami,LB,p2026_0bb569a7131dc7f5,771,8% coverage
11.8357,Watch,1,Ismail Mahdi,Ismail Mahdi,Arizona,RB,p2026_c6b888a96a2c45e6,656,8% coverage
11.722,Watch,1,Michael Taaffe,Michael Taaffe,Texas,CB,p2026_ec6074a1a9e5853b,733,8% coverage
11.6321,Watch,5,Enrique Cruz,Enrique Cruz,Kansas,OL,p2026_3427b6b04e805e0c,375,42% coverage; Wide variance
11.5731,Watch,2,Jeremiah Franklin,Jeremiah Franklin,Boston College,TE,p2026_ff8f719258f29f9b,321,17% coverage
11.5331,Watch,4,Ricardo Hallman,Ricardo Hallman,Wisconsin,CB,p2026_85a0833260f5ff5c,431,33% coverage; Wide variance
11.482,Watch,2,Diego Pounds,Diego Pounds,Mississippi,OL,p2026_f5784a4a2bfb7c53,322,17% coverage
11.4595,Watch,1,Carson Beck,Carson Beck,Miami Fla.,QB,p2026_8908707d0b4a1f68,734,8% coverage
11.2726,Watch,1,PJ Williams,PJ Williams,SMU,OL,p2026_b101955ce5ac24ca,510,8% coverage
11.2583,Watch,1,Al'Zillion Hamilton,Al'Zillion Hamilton,Fresno State,CB,p2026_d27c513680c410bf,659,8% coverage
11.2432,Watch,6,Dillon Wade,Dillon Wade,Auburn,OL,p2026_f7f048880c98cf70,342,50% coverage; Wide variance
11.2086,Watch,2,Josh Thompson,Josh Thompson,LSU,OL,p2026_d471b4b96cc80e60,325,17% coverage
