Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Derek Anderson,Browns,2008,3,,"$24,000,000","$8,000,000","$7,000,000",,6.9%,,"$62,317,241","$20,772,414","$18,175,862"
Jameis Winston,Saints,2022,2,,"$28,000,000","$14,000,000","$15,200,000",,6.7%,,"$40,507,205","$20,253,602","$21,989,625"
Alex Smith,KC/SF,2012,3,,"$24,000,000","$8,000,000","$9,000,000",,6.6%,,"$59,940,299","$19,980,100","$22,477,612"
Kyle Orton,KC/DEN,2010,1,,"$8,379,000","$8,379,000","$5,500,000",,6.5%,,"$19,563,991","$19,563,991","$12,841,860"
Teddy Bridgewater,CAR/DEN,2021,1,,"$11,500,000","$11,500,000","$10,062,500",,6.3%,,"$18,979,726","$18,979,726","$16,607,260"
Michael Vick,Eagles,2013,1,,"$7,500,000","$7,500,000","$3,500,000",,6.1%,,"$18,365,854","$18,365,854","$8,570,732"
Jordan Love,Packers,2023,1,,"$13,500,000","$13,500,000","$13,000,000",,6.0%,,"$18,088,078","$18,088,078","$17,418,149"
Jay Cutler,Dolphins,2017,1,,"$10,000,000","$10,000,000","$5,000,000",,6.0%,,"$18,035,928","$18,035,928","$9,017,964"
Josh McCown,Jets,2018,1,,"$10,000,000","$10,000,000","$5,000,000",,5.6%,,"$16,997,743","$16,997,743","$8,498,871"
Jay Cutler,Broncos,2006,6,,"$34,112,500","$5,685,417","$11,050,000",,5.6%,,"$100,732,206","$16,788,702","$32,630,000"
Matt Hasselbeck,Titans,2011,3,,"$20,000,000","$6,666,667","$6,000,000",,5.5%,,"$50,043,614","$16,681,205","$15,013,084"
Andy Dalton,Bears,2021,1,,"$10,000,000","$10,000,000","$7,000,000",,5.5%,,"$16,504,110","$16,504,110","$11,552,877"
Ryan Fitzpatrick,Commanders,2021,1,,"$10,000,000","$10,000,000","$6,000,000",,5.5%,,"$16,504,110","$16,504,110","$9,902,466"
Steve McNair,Ravens,2006,4,,"$22,000,000","$5,500,000","$11,000,000",,5.4%,,"$64,964,706","$16,241,176","$32,482,353"
Matt Flynn,Seahawks,2012,3,,"$19,500,000","$6,500,000","$10,000,000",,5.4%,,"$48,701,493","$16,233,831","$24,975,124"
