source_player_id,prospect_id,match_score,notes
9168,1200,1.0,rule_norm_name_school (Alabama)
9658,1200,1.0,rule_norm_name_school (Alabama)
10152,1200,1.0,rule_norm_name_school (Alabama)
8225,1438,0.85,rule_unique_name_key (no_school)
8425,1438,0.85,rule_unique_name_key (no_school)
8296,1693,1.0,rule_norm_name_school (Notre Dame)
8504,1693,1.0,rule_norm_name_school (Notre Dame)
9232,1081,0.85,rule_unique_name_key (no_school)
9724,1081,0.85,rule_unique_name_key (no_school)
10222,1081,0.85,rule_unique_name_key (no_school)
4666,1413,0.85,rule_unique_name_key (no_school)
5221,1413,0.85,rule_unique_name_key (no_school)
6724,1413,0.85,rule_unique_name_key (no_school)
9247,894,0.85,rule_unique_name_key (no_school)
9711,894,0.85,rule_unique_name_key (no_school)
10208,894,0.85,rule_unique_name_key (no_school)
9418,895,0.85,rule_unique_name_key (no_school)
9930,895,0.85,rule_unique_name_key (no_school)
10425,895,0.85,rule_unique_name_key (no_school)
8378,1713,0.85,rule_unique_name_key (no_school)
8577,1713,0.85,rule_unique_name_key (no_school)
8331,1439,0.85,rule_unique_name_key (no_school)
8518,1439,0.85,rule_unique_name_key (no_school)
9353,1266,0.85,rule_unique_name_key (no_school)
9853,1266,0.85,rule_unique_name_key (no_school)
10381,1266,0.85,rule_unique_name_key (no_school)
5355,1384,0.85,rule_unique_name_key (no_school)
8913,1384,0.85,rule_unique_name_key (no_school)
4937,1414,0.85,rule_unique_name_key (no_school)
5492,1414,0.85,rule_unique_name_key (no_school)
6958,1414,0.85,rule_unique_name_key (no_school)
9551,1082,0.85,rule_unique_name_key (no_school)
10022,1082,0.85,rule_unique_name_key (no_school)
10575,1082,0.85,rule_unique_name_key (no_school)
5286,1714,0.85,rule_unique_name_key (no_school)
8844,1714,0.85,rule_unique_name_key (no_school)
4811,1715,0.85,rule_unique_name_key (no_school)
5366,1715,0.85,rule_unique_name_key (no_school)
6895,1715,0.85,rule_unique_name_key (no_school)
9424,896,0.85,rule_unique_name_key (no_school)
9797,896,0.85,rule_unique_name_key (no_school)
10280,896,0.85,rule_unique_name_key (no_school)
9096,1069,1.0,rule_norm_name_school (Notre Dame)
9595,1069,1.0,rule_norm_name_school (Notre Dame)
10092,1069,1.0,rule_norm_name_school (Notre Dame)
9463,1070,1.0,rule_norm_name_school (Notre Dame)
9969,1070,1.0,rule_norm_name_school (Notre Dame)
10453,1070,1.0,rule_norm_name_school (Notre Dame)
8418,1440,0.85,rule_unique_name_key (no_school)
8617,1440,0.85,rule_unique_name_key (no_school)
5568,1071,1.0,rule_norm_name_school (Notre Dame)
8353,1071,1.0,rule_norm_name_school (Notre Dame)
8544,1071,1.0,rule_norm_name_school (Notre Dame)
9509,897,0.85,rule_unique_name_key (no_school)
10030,897,0.85,rule_unique_name_key (no_school)
10533,897,0.85,rule_unique_name_key (no_school)
9331,898,0.85,rule_unique_name_key (no_school)
9768,898,0.85,rule_unique_name_key (no_school)
10295,898,0.85,rule_unique_name_key (no_school)
9379,1767,0.85,rule_unique_name_key (no_school)
10445,1767,0.85,rule_unique_name_key (no_school)
8324,1441,0.85,rule_unique_name_key (no_school)
8514,1441,0.85,rule_unique_name_key (no_school)
4725,1385,0.85,rule_unique_name_key (no_school)
5280,1385,0.85,rule_unique_name_key (no_school)
6776,1385,0.85,rule_unique_name_key (no_school)
4938,1825,0.85,rule_unique_name_key (no_school)
5064,1825,1.0,rule_norm_name_school (Syracuse)
6985,1825,0.85,rule_unique_name_key (no_school)
8730,1825,1.0,rule_norm_name_school (Syracuse)
5493,1791,0.85,rule_unique_name_key (no_school)
9051,1791,0.85,rule_unique_name_key (no_school)
5014,1383,1.0,rule_norm_name_school (North Carolina)
6937,1383,0.85,rule_unique_name_key (no_school)
8666,1383,1.0,rule_norm_name_school (North Carolina)
9320,1267,0.85,rule_unique_name_key (no_school)
9777,1267,0.85,rule_unique_name_key (no_school)
10366,1267,0.85,rule_unique_name_key (no_school)
9160,1113,0.85,rule_unique_name_key (no_school)
9630,1113,0.85,rule_unique_name_key (no_school)
10140,1113,0.85,rule_unique_name_key (no_school)
9198,1268,0.85,rule_unique_name_key (no_school)
9689,1268,0.85,rule_unique_name_key (no_school)
10184,1268,0.85,rule_unique_name_key (no_school)
9436,899,0.85,rule_unique_name_key (no_school)
9954,899,0.85,rule_unique_name_key (no_school)
10446,899,0.85,rule_unique_name_key (no_school)
9377,1114,0.85,rule_unique_name_key (no_school)
10014,1114,0.85,rule_unique_name_key (no_school)
10391,1114,0.85,rule_unique_name_key (no_school)
9089,1269,0.85,rule_unique_name_key (no_school)
9585,1269,0.85,rule_unique_name_key (no_school)
10088,1269,0.85,rule_unique_name_key (no_school)
9244,1270,0.85,rule_unique_name_key (no_school)
9769,1270,0.85,rule_unique_name_key (no_school)
10290,1270,0.85,rule_unique_name_key (no_school)
8370,1442,0.85,rule_unique_name_key (no_school)
8568,1442,0.85,rule_unique_name_key (no_school)
8323,1443,0.85,rule_unique_name_key (no_school)
8534,1443,0.85,rule_unique_name_key (no_school)
5067,1871,1.0,rule_norm_name_school (Arkansas)
7020,1871,0.85,rule_unique_name_key (no_school)
8637,1871,1.0,rule_norm_name_school (Arkansas)
4772,1792,0.85,rule_unique_name_key (no_school)
5327,1792,0.85,rule_unique_name_key (no_school)
6804,1792,0.85,rule_unique_name_key (no_school)
9406,1828,0.85,rule_unique_name_key (no_school)
10409,1828,0.85,rule_unique_name_key (no_school)
5749,900,0.85,rule_unique_name_key (no_school)
8388,900,0.85,rule_unique_name_key (no_school)
8588,900,0.85,rule_unique_name_key (no_school)
5317,1716,0.85,rule_unique_name_key (no_school)
8875,1716,0.85,rule_unique_name_key (no_school)
9860,1846,0.85,rule_unique_name_key (no_school)
10354,1846,0.85,rule_unique_name_key (no_school)
9239,1083,0.85,rule_unique_name_key (no_school)
9741,1083,0.85,rule_unique_name_key (no_school)
10242,1083,0.85,rule_unique_name_key (no_school)
8276,1444,0.85,rule_unique_name_key (no_school)
8465,1444,0.85,rule_unique_name_key (no_school)
8338,1793,0.85,rule_unique_name_key (no_school)
8528,1793,0.85,rule_unique_name_key (no_school)
9342,1115,0.85,rule_unique_name_key (no_school)
9832,1115,0.85,rule_unique_name_key (no_school)
10256,1115,0.85,rule_unique_name_key (no_school)
4898,1271,0.85,rule_unique_name_key (no_school)
5453,1271,0.85,rule_unique_name_key (no_school)
6916,1271,0.85,rule_unique_name_key (no_school)
9011,1271,0.85,rule_unique_name_key (no_school)
5375,1415,0.85,rule_unique_name_key (no_school)
8933,1415,0.85,rule_unique_name_key (no_school)
4835,848,0.85,rule_unique_name_key (no_school)
5390,848,0.85,rule_unique_name_key (no_school)
7118,848,0.85,rule_unique_name_key (no_school)
9346,848,0.85,rule_unique_name_key (no_school)
10000,848,0.85,rule_unique_name_key (no_school)
10517,848,0.85,rule_unique_name_key (no_school)
9253,902,0.85,rule_unique_name_key (no_school)
9813,902,0.85,rule_unique_name_key (no_school)
10259,902,0.85,rule_unique_name_key (no_school)
4673,1717,0.85,rule_unique_name_key (no_school)
5228,1717,0.85,rule_unique_name_key (no_school)
6732,1717,0.85,rule_unique_name_key (no_school)
5324,1416,0.85,rule_unique_name_key (no_school)
8882,1416,0.85,rule_unique_name_key (no_school)
4670,829,0.85,rule_unique_name_key (no_school)
5225,829,0.85,rule_unique_name_key (no_school)
6723,829,0.85,rule_unique_name_key (no_school)
9085,829,0.85,rule_unique_name_key (no_school)
9593,829,0.85,rule_unique_name_key (no_school)
10090,829,0.85,rule_unique_name_key (no_school)
9259,1064,1.0,rule_norm_name_school (Maryland)
9811,1064,1.0,rule_norm_name_school (Maryland)
10244,1064,1.0,rule_norm_name_school (Maryland)
9996,1445,0.85,rule_unique_name_key (no_school)
10519,1445,0.85,rule_unique_name_key (no_school)
9381,1116,0.85,rule_unique_name_key (no_school)
9895,1116,0.85,rule_unique_name_key (no_school)
10455,1116,0.85,rule_unique_name_key (no_school)
9221,1117,0.85,rule_unique_name_key (no_school)
9721,1117,0.85,rule_unique_name_key (no_school)
10227,1117,0.85,rule_unique_name_key (no_school)
9428,1223,0.85,rule_unique_name_key (no_school)
9917,1223,0.85,rule_unique_name_key (no_school)
10431,1223,0.85,rule_unique_name_key (no_school)
8244,1678,1.0,rule_norm_name_school (Maryland)
8441,1678,1.0,rule_norm_name_school (Maryland)
4694,1360,0.85,rule_unique_name_key (no_school)
5249,1360,0.85,rule_unique_name_key (no_school)
6777,1360,0.85,rule_unique_name_key (no_school)
8299,1661,1.0,rule_norm_name_school (Alabama)
8509,1661,1.0,rule_norm_name_school (Alabama)
9128,1084,0.85,rule_unique_name_key (no_school)
9633,1084,0.85,rule_unique_name_key (no_school)
10133,1084,0.85,rule_unique_name_key (no_school)
5069,1704,1.0,rule_norm_name_school (South Carolina)
8770,1704,1.0,rule_norm_name_school (South Carolina)
5486,1447,0.85,rule_unique_name_key (no_school)
9044,1447,0.85,rule_unique_name_key (no_school)
4785,1448,0.85,rule_unique_name_key (no_school)
5340,1448,0.85,rule_unique_name_key (no_school)
6800,1448,0.85,rule_unique_name_key (no_school)
4788,1417,0.85,rule_unique_name_key (no_school)
5343,1417,0.85,rule_unique_name_key (no_school)
6887,1417,0.85,rule_unique_name_key (no_school)
4709,1361,0.85,rule_unique_name_key (no_school)
5264,1361,0.85,rule_unique_name_key (no_school)
6763,1361,0.85,rule_unique_name_key (no_school)
5065,1703,1.0,rule_norm_name_school (Pittsburgh)
6883,1703,0.85,rule_unique_name_key (no_school)
8732,1703,1.0,rule_norm_name_school (Pittsburgh)
9427,905,0.85,rule_unique_name_key (no_school)
9896,905,0.85,rule_unique_name_key (no_school)
10422,905,0.85,rule_unique_name_key (no_school)
5030,1662,0.85,rule_unique_name_key (no_school)
6995,1662,0.85,rule_unique_name_key (no_school)
9923,1662,1.0,rule_norm_name_school (Alabama)
10430,1662,1.0,rule_norm_name_school (Alabama)
4823,863,0.85,rule_unique_name_key (no_school)
6874,863,0.85,rule_unique_name_key (no_school)
9251,863,0.85,rule_unique_name_key (no_school)
9838,863,0.85,rule_unique_name_key (no_school)
10331,863,0.85,rule_unique_name_key (no_school)
5378,1768,0.85,rule_unique_name_key (no_school)
8936,1768,0.85,rule_unique_name_key (no_school)
