source_player_id,raw_full_name,raw_school_or_json,reason
5599,Colson Montgomery,CWS,no_match_name_key
8788,Colston LovelandMichigan,,no_match_name_key
5558,Colt Emerson,SEA,no_match_name_key
5560,Colt Keith,DET,no_match_name_key
10611,Colton Hood,,ambiguous_name_key_3
10890,Colton Hood,,ambiguous_name_key_3
10940,Colton Hood,,ambiguous_name_key_3
8753,Connor Bazelak,Bowling Green,no_match_name_key
4913,Connor Colby,,no_match_name_key
6904,Connor Colby,,no_match_name_key
10641,Connor Lew,,ambiguous_name_key_2
5591,Connor Norby,MIA,no_match_name_key
5982,Connor Phillips,CIN,no_match_name_key
5825,Connor Wong,BOS,no_match_name_key
5967,Cooper Hjerpe,STL,no_match_name_key
7026,Cooper Mays,,no_match_name_key
5786,Cooper Pratt,MIL,no_match_name_key
9535,Cooper Rush,BAL,no_match_name_key
7216,Corey Collier Jr.,,no_match_name_key
4926,Corey Kiner,,ambiguous_name_key_2
6962,Corey Kiner,,ambiguous_name_key_2
9431,Corey Kiner,SF,ambiguous_name_key_2
9951,Corey Kiner,SF,ambiguous_name_key_2
10463,Corey Kiner,SF,ambiguous_name_key_2
7142,Corey Rucker,,no_match_name_key
8671,Corey Thornton,Louisville,no_match_name_key
6938,Craig Woodson,,no_match_name_key
5933,Craig Yoho,MIL,no_match_name_key
5739,Cristian Javier,HOU,no_match_name_key
5638,Curtis Mead,TB,no_match_name_key
6719,DaKaari Nelson,Penn State,no_match_name_key
5579,Dalton Rushing,LAD,no_match_name_key
8896,Damien MartinezMiami,,no_match_name_key
6674,Damon Wilson,Georgia,no_match_name_key
5908,Daniel Espino,CLE,no_match_name_key
6710,Daniel Harris,Georgia,no_match_name_key
5068,Daniel Jackson,Minnesota,no_match_name_key
7044,Daniel Jackson,,no_match_name_key
9056,Dan JacksonGeorgia,,no_match_name_key
8748,Danny Striggow,Minnesota,no_match_name_key
4786,Danny Stutsman,,no_match_name_key
6807,Danny Stutsman,,no_match_name_key
6624,Dante Moore,UCLA,no_match_name_key
9481,Dante Pettis,NO,no_match_name_key
4718,Darien Porter,,no_match_name_key
6797,Darien Porter,,no_match_name_key
4711,Darius Alexander,,no_match_name_key
6814,Darius Alexander,,no_match_name_key
6664,Darius Taylor,Minnesota,no_match_name_key
10654,Darrell Jackson Jr.,,ambiguous_name_key_2
8736,Dartanyan Tinsley,Cincinnati,no_match_name_key
6672,Dashawn Womack,LSU,no_match_name_key
5760,Daulton Varsho,TOR,no_match_name_key
5802,David Bednar,PIT,no_match_name_key
5867,David Fry,CLE,no_match_name_key
8683,David Gbenda,Texas,no_match_name_key
10347,David Moore,CAR,no_match_name_key
7209,David Spaulding,,no_match_name_key
4813,David Walker,,no_match_name_key
6829,David Walker,,no_match_name_key
6993,Davin Vann,,no_match_name_key
9553,Davis Mills,HOU,no_match_name_key
7173,Davonte Brown,,no_match_name_key
7035,Dayon Hayes,,no_match_name_key
8766,Dean Clark,Fresno State,no_match_name_key
4927,Deandre Jules,,no_match_name_key
5043,DeAndre Jules,South Carolina,no_match_name_key
7083,DeAndre Jules,,no_match_name_key
5840,Dean Kremer,BAL,no_match_name_key
7031,De'Corian Clark,,no_match_name_key
7219,Deion Smith,,no_match_name_key
5831,Demetrio Crisantes,AZ,no_match_name_key
7211,Demond Demas,,no_match_name_key
10736,DeMonte Capehart,,ambiguous_name_key_2
7206,Demouy Kennedy,,no_match_name_key
6022,Dennis Santana,PIT,no_match_name_key
8961,Denzel BurkeOhio,,no_match_name_key
5880,Denzel Clarke,ATH,no_match_name_key
8904,Deone WalkerKentucky,,no_match_name_key
6702,Derek Williams,Texas,no_match_name_key
7198,Derek Wingo,,no_match_name_key
8801,Derrick HarmonOregon,,no_match_name_key
10640,Derrick Moore,,ambiguous_name_key_3
10903,Derrick Moore,,ambiguous_name_key_3
10953,Derrick Moore,,ambiguous_name_key_3
10070,Deshaun Watson,CLE,no_match_name_key
7154,Deshawn Pace,,no_match_name_key
7125,Desmond Evans,,no_match_name_key
6642,Desmond Ricks,Alabama,no_match_name_key
10073,Desmond Ridder,CIN,no_match_name_key
6949,Desmond Watson,,no_match_name_key
8765,Desmond Watson,Florida,no_match_name_key
10318,Detroit Lions D/ST,DET,no_match_name_key
7163,Devin Kirkwood,,no_match_name_key
5627,Deyvison De Los Santos,MIA,no_match_name_key
6015,Diego Cartaya,MIN,no_match_name_key
5995,Dillon Dingler,DET,no_match_name_key
8983,Dillon GabrielOregon,,no_match_name_key
5616,DJ Herz,WSH,no_match_name_key
6643,DJ Hicks,Texas A&M,no_match_name_key
7029,DJ Uiagalelei,,no_match_name_key
8717,D.J. Uiagalelei,Florida State,no_match_name_key
7122,Dominick Blaylock,,no_match_name_key
7103,Dominic Lovett,,no_match_name_key
10648,Domonique Orange,,ambiguous_name_key_3
7111,Donald Chaney,,no_match_name_key
9021,Donovan EdwardsMichigan,,no_match_name_key
4689,Donovan Ezeiruaku,,no_match_name_key
6774,Donovan Ezeiruaku,,no_match_name_key
8837,Donovan JacksonOhio,,no_match_name_key
6990,Donovan Smith,,no_match_name_key
7123,Dontae Manning,,no_match_name_key
8764,Dontae Manning,Oregon,no_match_name_key
6680,Dontavius Braswell,South Carolina,no_match_name_key
10682,Dontay Corleone,,ambiguous_name_key_2
7187,Donte Kent,,no_match_name_key
7133,Dorian Singer,,no_match_name_key
4797,Dorian Strong,,no_match_name_key
