normalized_name,display_name,pos,school,in_ras,in_jfoster,ras_score,jfoster_rank,season_id
tyren montgomery,Tyren Montgomery,WR,John Carroll,1,0,,,1
vincent anthony jr.,Vincent Anthony Jr.,DE,Duke,1,1,8.32,212,1
vinny anthony ii,Vinny Anthony II,WR,Wisconsin,1,1,7.55,?,1
virdel edwards ii,Virdel Edwards II,CB,Hawaii,1,0,,,1
vj payne,VJ Payne,SS,Kansas State,1,1,9.87,76,1
wade woodaz,Wade Woodaz,LB,Clemson,1,1,,?,1
walker eget,Walker Eget,QB,San José State,0,1,,?,1
walker parks,Walker Parks,OG,Clemson,1,1,,?,1
wendell moe jr.,Wendell Moe Jr.,OG,Tennessee,1,0,,,1
wesley bailey,Wesley Bailey,ED,Louisville,0,1,,?,1
wesley bissainthe,Wesley Bissainthe,LB,Miami,1,1,,?,1
wesley williams,Wesley Williams,DE,Duke,1,1,7.3,263,1
west weeks,West Weeks,LB,LSU,1,1,,?,1
weylin lapuaho,Weylin Lapuaho,G,BYU,0,1,,?,1
wilfredo aybar,Wilfredo Aybar,ED,Stanford,0,1,,?,1
will ferrin,Will Ferrin,K,BYU,1,0,,,1
will kacmarek,Will Kacmarek,TE,Ohio State,1,1,9.14,?,1
will lee iii,Will Lee III,CB,Texas A&M,1,1,9.46,99,1
will o'steen,Will O'Steen,OT,North Carolina,0,1,,?,1
will pauling,Will Pauling,WR,Notre Dame,1,0,,,1
william whitlow jr.,William Whitlow Jr.,ED,Memphis,1,0,,,1
wydett williams jr.,Wydett Williams Jr.,S,Ole Miss,1,1,,226,1
xavian sorey jr.,Xavian Sorey Jr.,LB,Arkansas,1,1,8.58,?,1
xavier nwankpa,Xavier Nwankpa,SS,Iowa,1,1,9.96,241,1
xavion alford,Xavion Alford,S,Arizona State,1,1,,?,1
yilanan ouattara,Yilanan Ouattara,DL,Vanderbilt,0,1,,?,1
zach barlev,Zach Barlev,OG,Old Dominion,1,0,,,1
zach calzada,Zach Calzada,QB,Kentucky,0,1,,?,1
zach palmer-smith,Zach Palmer-Smith,RB,Louisiana�Monroe,1,0,,,1
zachariah branch,Zachariah Branch,WR,Georgia,1,1,8.95,53,1
zakee wheatley,Zakee Wheatley,FS,Penn State,1,1,,114,1
zane durant,Zane Durant,DT,Penn State,1,1,9.2,190,1
zavion thomas,Zavion Thomas,WR,Louisiana State,1,1,9.03,161,1
zechariah poyser,Zechariah Poyser,S,Miami,0,1,,?,1
zen michalski,Zen Michalski,OT,Indiana,1,0,,,1
zion nelson,Zion Nelson,OT,SMU,0,1,,?,1
zion young,Zion Young,DE,Missouri,1,1,,56,1
zxavian harris,Zxavian Harris,DT,Mississippi,1,1,,222,1
