normalized_name,display_name,pos,school,in_ras,in_jfoster,ras_score,jfoster_rank,season_id
christen miller,Christen Miller,DT,Georgia,1,1,,40,1
christian fitzpatrick,Christian Fitzpatrick,WR,Oklahoma State,1,1,,?,1
christian jones,Christian Jones,OT,San Diego State,0,1,,?,1
cian slone,Cian Slone,ED,NC State,1,1,,?,1
cj allen,CJ Allen,LB,Georgia,1,1,,19,1
cj daniels,CJ Daniels,WR,Miami,1,1,,141,1
cj donaldson,CJ Donaldson,RB,Ohio State,1,1,,?,1
cj nunnally iv,CJ Nunnally IV,ED,Purdue,1,0,,,1
ckelby givens,Ckelby Givens,ED,Southern,1,0,,,1
clay patterson,Clay Patterson,ED,Stanford,0,1,,?,1
clayton powell-lee,Clayton Powell-Lee,S,Georgia Tech,0,1,,?,1
clayton smith,Clayton Smith,ED,Arizona State,1,1,,?,1
cody hardy,Cody Hardy,TE,NC State,1,1,,?,1
colbie young,Colbie Young,WR,Georgia,1,1,,110,1
cole brevard,Cole Brevard,DL,Texas,0,1,,232,1
cole kozlowski,Cole Kozlowski,LB,UCF,0,1,,?,1
cole payton,Cole Payton,QB,North Dakota State,1,1,9.97,92,1
cole wisniewski,Cole Wisniewski,S,Texas Tech,1,1,,156,1
collin rogers,Collin Rogers,K,SMU,1,0,,,1
collin wright,Collin Wright,CB,Stanford,1,1,,175,1
coltin deery,Coltin Deery,OC,TCU,0,1,,?,1
colton hood,Colton Hood,CB,Tennessee,1,1,9.61,34,1
connor lew,Connor Lew,OC,Auburn,1,1,,81,1
connor tollison,Connor Tollison,OC,Missouri,1,1,,285,1
corey robinson ii,Corey Robinson II,OT,Arkansas,1,1,,?,1
corey rucker,Corey Rucker,WR,Arkansas State,1,0,,,1
corey walker,Corey Walker,DT,Wisconsin,1,1,,?,1
curtis allen,Curtis Allen,HB,Virginia Union,0,1,,?,1
cyrus allen,Cyrus Allen,WR,Cincinnati,0,1,,?,1
d'angelo ponds,D'Angelo Ponds,CB,Indiana,1,1,,57,1
d.j. graham,D.J. Graham,CB,Kansas,1,0,,,1
d.j. wingfield,D.J. Wingfield,G,USC,0,1,,?,1
da'marcus crosby,Da'Marcus Crosby,S,Virginia,1,0,,,1
dacari collins,Dacari Collins,WR,Louisville,1,0,,,1
dae'quan wright,Dae'Quan Wright,TE,Mississippi,1,1,,205,1
dallen bentley,Dallen Bentley,TE,Utah,1,1,9.31,123,1
dalton johnson,Dalton Johnson,FS,Arizona,1,1,7.65,111,1
damari brown,Damari Brown,CB,Miami,0,1,,?,1
dametrious crownover,Dametrious Crownover,OT,Texas A&M,1,1,,74,1
damian ilalio,Damian Ilalio,DT,Kansas State,1,1,,?,1
damieon george jr.,Damieon George Jr.,OG,Florida,1,1,,?,1
damon payne,Damon Payne,DL,Michigan,0,1,,?,1
damonic williams,Damonic Williams,DT,Oklahoma,1,1,,283,1
damonte smith,Damonte Smith,DL,Middle Tennessee,0,1,,253,1
dan villari,Dan Villari,TE,Syracuse,0,1,,?,1
dane key,Dane Key,WR,Nebraska,1,1,,255,1
dani dennis-sutton,Dani Dennis-Sutton,DE,Penn State,1,1,9.96,174,1
daniel hishaw,Daniel Hishaw,RB,Kansas,1,0,,,1
daniel hishaw jr.,Daniel Hishaw Jr.,HB,Kansas,0,1,,?,1
daniel king,Daniel King,G,North Carolina,0,1,,?,1
daniel sobkowicz,Daniel Sobkowicz,WR,Illinois State,1,1,,?,1
daniel sparks,Daniel Sparks,P,Virginia,1,0,,,1
dariel djabome,Dariel Djabome,LB,Rutgers,0,1,,?,1
darrell jackson jr.,Darrell Jackson Jr.,DT,Florida State,1,1,,104,1
darryl peterson,Darryl Peterson,ED,Wisconsin,0,1,,?,1
dasan mccullough,Dasan McCullough,ED,Nebraska,0,1,,?,1
dashawn jones,DaShawn Jones,CB,Alabama,0,1,,?,1
dave iuli,Dave Iuli,OG,Oregon,1,1,,?,1
david bailey,David Bailey,DE,Texas Tech,1,1,9.68,11,1
david blay,David Blay,DT,Miami (FL),1,0,,,1
david blay jr.,David Blay Jr.,DL,Miami,0,1,,269,1
david gusta,David Gusta,DT,Kentucky,1,1,9.89,?,1
david ndukwe,David Ndukwe,OT,Houston,1,0,,,1
davion carter,Davion Carter,OG,Texas Tech,1,1,,?,1
davison igbinosun,Davison Igbinosun,CB,Ohio State,1,1,8.64,112,1
davon booth,Davon Booth,HB,Mississippi State,0,1,,?,1
daylan carnell,Daylan Carnell,S,Missouri,1,1,,?,1
daylen everette,Daylen Everette,CB,Georgia,1,1,9.82,230,1
dayon hayes,Dayon Hayes,ED,Texas A&M,1,1,,?,1
de'shawn rucker,De'Shawn Rucker,CB,South Florida,0,1,,?,1
de'zhaun stribling,De'Zhaun Stribling,WR,Mississippi,1,1,9.9,63,1
dean connors,Dean Connors,RB,Houston,1,1,,?,1
decarlos nicholson,DeCarlos Nicholson,CB,USC,1,1,,?,1
declan williams,Declan Williams,LB,Incarnate Word,0,1,,?,1
deion burks,Deion Burks,WR,Oklahoma,1,1,9.52,117,1
delby lemieux,Delby Lemieux,OG,Dartmouth,1,1,,269,1
demond claiborne,Demond Claiborne,RB,Wake Forest,1,1,7.98,131,1
demonte capehart,DeMonte Capehart,DT,Clemson,1,1,9.97,238,1
denzel boston,Denzel Boston,WR,Washington,1,1,,30,1
deontae lawson,Deontae Lawson,LB,Alabama,1,1,,242,1
dequan finn,DeQuan Finn,QB,Miami (OH),1,0,,,1
derek simmons,Derek Simmons,OT,Oklahoma,1,1,,?,1
derrick graham,Derrick Graham,OT,Tulane,1,0,,,1
derrick moore,Derrick Moore,DE,Michigan,1,1,,83,1
deshon singleton,DeShon Singleton,FS,Nebraska,1,1,,?,1
desmeal leigh,Desmeal Leigh,OT,Youngstown State,1,0,,,1
desmond purnell,Desmond Purnell,LB,Kansas State,1,1,,?,1
desmond reid,Desmond Reid,RB,Pittsburgh,1,1,,?,1
deuce harmon,Deuce Harmon,CB,SMU,1,0,,,1
devan boykin,Devan Boykin,S,Indiana,1,1,,208,1
devean deal,Devean Deal,ED,TCU,0,1,,?,1
deven eastern,Deven Eastern,DT,Minnesota,1,1,,?,1
devin grant,Devin Grant,S,Syracuse,1,1,,?,1
devin kylany,Devin Kylany,OC,Wake Forest,0,1,,?,1
devin mockobee,Devin Mockobee,RB,Purdue,1,1,,?,1
devin moore,Devin Moore,CB,Florida,1,1,,51,1
devin voisin,Devin Voisin,WR,South Alabama,0,1,,?,1
devon marshall,Devon Marshall,CB,NC State,1,1,,?,1
devonta smith,DeVonta Smith,CB,Notre Dame,1,1,,?,1
devonte ross,Devonte Ross,WR,Penn State,1,1,,?,1
devyn bobby,Devyn Bobby,S,Baylor,1,1,,?,1
diego pavia,Diego Pavia,QB,Vanderbilt,1,1,,251,1
diego pounds,Diego Pounds,OT,Mississippi,1,1,9.22,101,1
dillon bell,Dillon Bell,WR,Georgia,1,1,9.42,184,1
dillon thieneman,Dillon Thieneman,SS,Oregon,1,1,9.65,22,1
dillon wade,Dillon Wade,OG,Auburn,1,1,9.13,273,1
dj campbell,DJ Campbell,OG,Texas,1,1,8.49,215,1
dj graham ii,DJ Graham II,CB,Kansas,0,1,,?,1
dj harvey,DJ Harvey,CB,USC,1,1,,?,1
dj rogers,DJ Rogers,TE,Texas Christian,1,1,,?,1
dj williams,DJ Williams,QB,Southern Illinois,0,1,,?,1
domani jackson,Domani Jackson,CB,Alabama,1,1,,248,1
dominic bailey,Dominic Bailey,DL,Tennessee,0,1,,?,1
dominic richardson,Dominic Richardson,HB,Tulsa,0,1,,?,1
dominic zvada,Dominic Zvada,PK,Michigan,1,0,,,1
domonique orange,Domonique Orange,DT,Iowa State,1,1,,66,1
donaven mcculley,Donaven McCulley,WR,Michigan,1,1,,?,1
donavon greene,Donavon Greene,WR,Virginia Tech,1,1,,?,1
dontae balfour,Dontae Balfour,CB,Texas Tech,1,1,,?,1
dontay corleone,Dontay Corleone,DT,Cincinnati,1,1,,228,1
dorian wesley,Dorian Wesley,DT,Western Michigan,1,0,,,1
dorion strawn,Dorion Strawn,G,Texas State,0,1,,?,1
dq smith,DQ Smith,S,South Carolina,1,1,,293,1
dre'lyn washington,Dre'lyn Washington,HB,Alabama,0,1,,?,1
drew allar,Drew Allar,QB,Penn State,1,1,,182,1
drew biber,Drew Biber,TE,Minnesota,0,1,,?,1
drew shelton,Drew Shelton,OT,Penn State,1,1,8.7,213,1
drew stevens,Drew Stevens,PK,Iowa,1,0,,,1
dreyden norwood,Dreyden Norwood,CB,Missouri,1,1,,?,1
drue watts,Drue Watts,LB,Memphis,1,1,,?,1
dt sheffield,DT Sheffield,WR,Rutgers,1,1,,?,1
duce chestnut,Duce Chestnut,S,Syracuse,1,1,,?,1
dylan barrett,Dylan Barrett,OG,Iowa State,1,1,,?,1
e.j. williams,E.J. Williams,WR,Indiana,0,1,,247,1
eddie walls iii,Eddie Walls III,ED,Houston,0,1,,?,1
eli blakey,Eli Blakey,S,Miami (OH),0,1,,?,1
eli heidenreich,Eli Heidenreich,RB,Navy,1,1,8.53,?,1
eli raridon,Eli Raridon,TE,Notre Dame,1,1,9.66,181,1
eli russ,Eli Russ,G,Troy,0,1,,?,1
eli sanders,Eli Sanders,RB,USC,1,0,,,1
eli stowers,Eli Stowers,TE,Vanderbilt,1,1,9.46,143,1
